ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
IND,New Delhi,659243,Antenatal care provider: Doctor,75.2,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413000,1413000,Region,New Delhi,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413000,1992-93,DHS,368,1221,,
IND,Haryana,3921283,Antenatal care provider: Doctor,31.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413001,1413010,Region,Haryana,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413001,1992-93,DHS,736,1164,,
IND,Himachal Pradesh,3048385,Antenatal care provider: Doctor,33.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413002,1413020,Region,Himachal Pradesh,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413002,1992-93,DHS,184,935,,
IND,Jammu region of Jammu & Kashmir,644667,Antenatal care provider: Doctor,48.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413004,1413040,Region,..Jammu region of Jammu & Kashmir,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413004,1992-93,DHS,140,983,,
IND,Punjab,2332864,Antenatal care provider: Doctor,35.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413005,1413050,Region,Punjab,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413005,1992-93,DHS,702,973,,
IND,Rajasthan,3379198,Antenatal care provider: Doctor,16.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413006,1413060,Region,Rajasthan,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413006,1992-93,DHS,1738,1913,,
IND,"Madhya Pradesh, inc Chhattisgarh",3155036,Antenatal care provider: Doctor,28.1,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413007,1413070,Region,"Madhya Pradesh, inc Chhattisgarh",14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413007,1992-93,DHS,2820,2500,,
IND,"Uttar Pradesh, inc Uttarakhand",2333967,Antenatal care provider: Doctor,21.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413010,1413100,Region,"Uttar Pradesh, inc Uttarakhand",14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413010,1992-93,DHS,6919,5159,,
IND,"Bihar, inc Jharkhand",2337669,Antenatal care provider: Doctor,22.6,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413013,1413130,Region,"Bihar, inc Jharkhand",14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413013,1992-93,DHS,3683,2358,,
IND,Odisha,3744837,Antenatal care provider: Doctor,34.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413016,1413160,Region,Odisha,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413016,1992-93,DHS,1173,1463,,
IND,West Bengal,2333973,Antenatal care provider: Doctor,62.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413017,1413170,Region,West Bengal,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413017,1992-93,DHS,2400,1483,,
IND,Arunachal Pradesh,759730,Antenatal care provider: Doctor,47.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413018,1413180,Region,Arunachal Pradesh,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413018,1992-93,DHS,44,411,,
IND,Assam,659250,Antenatal care provider: Doctor,38,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413019,1413190,Region,Assam,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413019,1992-93,DHS,998,1166,,
IND,Manipur,3918557,Antenatal care provider: Doctor,61.1,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413020,1413200,Region,Manipur,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413020,1992-93,DHS,78,378,,
IND,Meghalaya,3584138,Antenatal care provider: Doctor,48.9,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413021,1413210,Region,Meghalaya,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413021,1992-93,DHS,75,442,,
IND,Mizoram,2331301,Antenatal care provider: Doctor,43.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413022,1413220,Region,Mizoram,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413022,1992-93,DHS,21,292,,
IND,Nagaland,644685,Antenatal care provider: Doctor,31,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413023,1413230,Region,Nagaland,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413023,1992-93,DHS,49,420,,
IND,Tripura,3395596,Antenatal care provider: Doctor,59.5,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413025,1413250,Region,Tripura,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413025,1992-93,DHS,99,365,,
IND,Goa,3082561,Antenatal care provider: Doctor,93.7,1,IA,India,1993,IA1993DHS,RH_ANCP_W_DOC,83363010,I,413026,1413260,Region,Goa,14000,Three years preceding the survey,0,0,RHANCPWDOC,IADHS1993413026,1992-93,DHS,30,774,,
