Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2006,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,23
India,IND,2016,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,29.1
India,IND,2006,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,30.3
India,IND,2016,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,19.2
India,IND,2006,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,20.4
India,IND,2016,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,26.1
India,IND,2006,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,29
India,IND,2016,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,32.8
India,IND,2006,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,34.7
India,IND,2016,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,44.6
India,IND,2006,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,47.2
India,IND,2016,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,13.3
India,IND,2006,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,14.1
India,IND,2016,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.7
India,IND,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.3
India,IND,2016,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.7
