category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
#meta+category,#indicator+name,#indicator+description,#indicator+type,#geo+lat,#geo+lon,#region+code,#country+code+v_iso2,#country+name,#date+year,#indicator+value
Crime,recorded_assault_rate,Recorded assault rate per 100,000 population,n,20,77,689,IN,India,1998,24.07
Crime,recorded_assault_rate,Recorded assault rate per 100,000 population,n,20,77,689,IN,India,1999,23.68
Health,children_with_diarrhea_3_shelter_deprivation,Proportion of children with diarrhea in last two weeks – 3 Shelter deprivation,p,20,77,689,IN,India,2005,9.7
Transport,total_number_of_motor_vehicles,Total number of motor vehicles (per 1000 population),n,20,77,689,IN,India,2003,9
Transport,total_number_of_motor_vehicles,Total number of motor vehicles (per 1000 population),n,20,77,689,IN,India,1990,4
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1985,60.56
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1955,75.15
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2020,48.95
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1990,58.95
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1960,74.3
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2025,49.06
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1995,57.38
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1965,71.59
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2000,54.69
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1970,69.36
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,2005,51.13
Slum dwellers,urban_population_percentage_fewer_500k,Percentage of urban population (by country) – Fewer than 500 000 inhabitants,p,20,77,689,IN,India,1975,66.34
