ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
IND,New Delhi,4008510,Women with secondary or higher education,71.3,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413000,1413000,Region,New Delhi,0,,0,1,EDLITRWSCH,IADHS2006413000,2005-06,DHS,1471,3349,,
IND,Haryana,1264384,Women with secondary or higher education,50.3,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413001,1413010,Region,Haryana,0,,0,1,EDLITRWSCH,IADHS2006413001,2005-06,DHS,2315,2790,,
IND,Himachal Pradesh,3581128,Women with secondary or higher education,66.2,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413002,1413020,Region,Himachal Pradesh,0,,0,1,EDLITRWSCH,IADHS2006413002,2005-06,DHS,775,3193,,
IND,Jammu & Kashmir,2154554,Women with secondary or higher education,50.1,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413003,1413030,Region,Jammu & Kashmir,0,,0,1,EDLITRWSCH,IADHS2006413003,2005-06,DHS,1219,3281,,
IND,Punjab,3925826,Women with secondary or higher education,57.8,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413005,1413050,Region,Punjab,0,,0,1,EDLITRWSCH,IADHS2006413005,2005-06,DHS,3143,3681,,
IND,Rajasthan,2750169,Women with secondary or higher education,26,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413006,1413060,Region,Rajasthan,0,,0,1,EDLITRWSCH,IADHS2006413006,2005-06,DHS,6601,3892,,
IND,"Madhya Pradesh, inc Chhattisgarh",2904528,Women with secondary or higher education,32.8,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413007,1413070,Region,"Madhya Pradesh, inc Chhattisgarh",0,,0,1,EDLITRWSCH,IADHS2006413007,2005-06,DHS,9976,10237,,
IND,Madhya Pradesh,2153101,Women with secondary or higher education,32.9,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413008,1413080,Region,..Madhya Pradesh,0,,0,1,EDLITRWSCH,IADHS2006413008,2005-06,DHS,7225,6427,,
IND,Chhattisgarh,3016055,Women with secondary or higher education,32.4,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413009,1413090,Region,..Chhattisgarh,0,,0,1,EDLITRWSCH,IADHS2006413009,2005-06,DHS,2751,3810,,
IND,"Uttar Pradesh, inc Uttarakhand",2159202,Women with secondary or higher education,35.2,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413010,1413100,Region,"Uttar Pradesh, inc Uttarakhand",0,,0,1,EDLITRWSCH,IADHS2006413010,2005-06,DHS,19953,15136,,
IND,Uttar Pradesh,3996093,Women with secondary or higher education,34.2,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413011,1413110,Region,..Uttar Pradesh,0,,0,1,EDLITRWSCH,IADHS2006413011,2005-06,DHS,18954,12183,,
IND,Uttarakhand,3764124,Women with secondary or higher education,53.8,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413012,1413120,Region,..Uttarakhand,0,,0,1,EDLITRWSCH,IADHS2006413012,2005-06,DHS,1000,2953,,
IND,"Bihar, inc Jharkhand",2159221,Women with secondary or higher education,28.7,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413013,1413130,Region,"Bihar, inc Jharkhand",0,,0,1,EDLITRWSCH,IADHS2006413013,2005-06,DHS,12718,6801,,
IND,Bihar,3182902,Women with secondary or higher education,27.9,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413014,1413140,Region,..Bihar,0,,0,1,EDLITRWSCH,IADHS2006413014,2005-06,DHS,9502,3818,,
IND,Jharkhand,3964276,Women with secondary or higher education,30.9,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413015,1413150,Region,..Jharkhand,0,,0,1,EDLITRWSCH,IADHS2006413015,2005-06,DHS,3216,2983,,
IND,Odisha,3612548,Women with secondary or higher education,40.9,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413016,1413160,Region,Odisha,0,,0,1,EDLITRWSCH,IADHS2006413016,2005-06,DHS,4809,4540,,
IND,West Bengal,1005810,Women with secondary or higher education,41.8,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413017,1413170,Region,West Bengal,0,,0,1,EDLITRWSCH,IADHS2006413017,2005-06,DHS,10386,6794,,
IND,Arunachal Pradesh,3403782,Women with secondary or higher education,40.3,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413018,1413180,Region,Arunachal Pradesh,0,,0,1,EDLITRWSCH,IADHS2006413018,2005-06,DHS,125,1647,,
IND,Assam,4010998,Women with secondary or higher education,51.9,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413019,1413190,Region,Assam,0,,0,1,EDLITRWSCH,IADHS2006413019,2005-06,DHS,3375,3840,,
IND,Manipur,3963321,Women with secondary or higher education,66.3,1,IA,India,2006,IA2006DHS,ED_LITR_W_SCH,211233010,I,413020,1413200,Region,Manipur,0,,0,1,EDLITRWSCH,IADHS2006413020,2005-06,DHS,271,4512,,
