,0,1,2
0,N,District,State
1,1,Nicobars,Andaman and Nicobar
2,2,North and Middle Andaman,Andaman and Nicobar
3,3,South Andaman,Andaman and Nicobar
4,4,Anantapur,Andhra Pradesh
5,5,Chittoor,Andhra Pradesh
6,6,East Godavari,Andhra Pradesh
7,7,Guntur,Andhra Pradesh
8,8,Krishna,Andhra Pradesh
9,9,Kurnool,Andhra Pradesh
10,10,Prakasam,Andhra Pradesh
11,11,S.P.S. Nellore,Andhra Pradesh
12,12,Srikakulam,Andhra Pradesh
13,13,Visakhapatnam,Andhra Pradesh
14,14,Vizianagaram,Andhra Pradesh
15,15,West Godavari,Andhra Pradesh
16,16,Y.S.R.,Andhra Pradesh
17,17,Anjaw,Arunachal Pradesh
18,18,Changlang,Arunachal Pradesh
19,19,East Kameng,Arunachal Pradesh
20,20,East Siang,Arunachal Pradesh
21,21,Kamle,Arunachal Pradesh
22,22,Kra Daadi,Arunachal Pradesh
23,23,Kurung Kumey,Arunachal Pradesh
24,24,Lepa Rada,Arunachal Pradesh
25,25,Lohit,Arunachal Pradesh
26,26,Longding,Arunachal Pradesh
27,27,Lower Dibang Valley,Arunachal Pradesh
28,28,Lower Siang,Arunachal Pradesh
29,29,Lower Subansiri,Arunachal Pradesh
30,30,Namsai,Arunachal Pradesh
31,31,Pakke Kessang,Arunachal Pradesh
32,32,Papum Pare,Arunachal Pradesh
33,33,Shi Yomi,Arunachal Pradesh
34,34,Siang,Arunachal Pradesh
35,35,Tawang,Arunachal Pradesh
36,36,Tirap,Arunachal Pradesh
37,37,Upper Dibang Valley,Arunachal Pradesh
38,38,Upper Siang,Arunachal Pradesh
39,39,Upper Subansiri,Arunachal Pradesh
40,40,West Kameng,Arunachal Pradesh
41,41,West Siang,Arunachal Pradesh
42,42,Baksa,Assam
43,43,Barpeta,Assam
44,44,Biswanath,Assam
45,45,Bongaigaon,Assam
46,46,Cachar,Assam
47,47,Charaideo,Assam
48,48,Chirang,Assam
49,49,Darrang,Assam
50,50,Dhemaji,Assam
51,51,Dhubri,Assam
52,52,Dibrugarh,Assam
53,53,Dima Hasao,Assam
54,54,Goalpara,Assam
55,55,Golaghat,Assam
56,56,Hailakandi,Assam
57,57,Hojai,Assam
58,58,Jorhat,Assam
59,59,Kamrup,Assam
60,60,Kamrup Metropolitan,Assam
61,61,Karbi Anglong,Assam
62,62,Karimganj,Assam
63,63,Kokrajhar,Assam
64,64,Lakhimpur,Assam
65,65,Majuli,Assam
66,66,Morigaon,Assam
67,67,Nagaon,Assam
68,68,Nalbari,Assam
69,69,Sivasagar,Assam
70,70,Sonitpur,Assam
71,71,South Salmara Mancachar,Assam
72,72,Tinsukia,Assam
73,73,Udalguri,Assam
74,74,West Karbi Anglong,Assam
75,75,Araria,Bihar
76,76,Arwal,Bihar
77,77,Aurangabad,Bihar
78,78,Banka,Bihar
79,79,Begusarai,Bihar
80,80,Bhagalpur,Bihar
81,81,Bhojpur,Bihar
82,82,Buxar,Bihar
83,83,Darbhanga,Bihar
84,84,Gaya,Bihar
85,85,Gopalganj,Bihar
86,86,Jamui,Bihar
87,87,Jehanabad,Bihar
88,88,Kaimur (Bhabua),Bihar
89,89,Katihar,Bihar
90,90,Khagaria,Bihar
91,91,Kishanganj,Bihar
92,92,Lakhisarai,Bihar
93,93,Madhepura,Bihar
94,94,Madhubani,Bihar
