,0,1,2,3,4,5,6
0,State,,Confirmed,Recovered,Deaths,Active,Last_Updated_Time
1,Total,,1196,102,29,1065,30/03/2020 13:22:24
2,,,,,,,
3,Maharashtra,,215,25,7,183,30/03/2020 10:02:25
4,Kerala,,202,20,1,181,30/03/2020 07:22:24
5,Karnataka,,83,5,3,75,29/03/2020 18:52:24
6,Delhi,,72,6,2,64,29/03/2020 20:22:25
7,Uttar Pradesh,,72,11,0,61,29/03/2020 23:02:24
8,Telangana,,70,1,1,68,29/03/2020 23:12:24
9,Gujarat,,69,1,6,62,30/03/2020 11:27:24
10,Rajasthan,,60,3,0,57,30/03/2020 10:22:25
11,Tamil Nadu,,67,4,1,62,30/03/2020 12:27:24
12,Madhya Pradesh,,47,0,2,45,30/03/2020 10:52:27
13,Jammu and Kashmir,,45,1,1,43,29/03/2020 12:17:24
14,Punjab,,39,1,1,37,30/03/2020 09:17:27
15,Haryana,,35,17,0,18,29/03/2020 01:27:24
16,Andhra Pradesh,,23,1,0,22,30/03/2020 11:37:26
17,West Bengal,,22,0,2,20,30/03/2020 13:22:25
18,Bihar,,15,0,1,14,29/03/2020 19:37:25
19,Ladakh,,13,3,0,10,27/03/2020 11:52:25
20,Andaman and Nicobar Islands,,10,0,0,10,30/03/2020 11:27:27
21,Chandigarh,,9,0,0,9,30/03/2020 13:22:26
22,Chhattisgarh,,7,0,0,7,27/03/2020 21:17:25
23,Uttarakhand,,7,2,0,5,30/03/2020 06:27:24
24,Goa,,5,0,0,5,29/03/2020 18:52:25
25,Himachal Pradesh,,3,1,1,1,30/03/2020 07:57:24
26,Odisha,,3,0,0,3,26/03/2020 07:19:29
27,Manipur,,1,0,0,1,26/03/2020 07:19:29
28,Mizoram,,1,0,0,1,26/03/2020 07:19:29
29,Puducherry,,1,0,0,1,26/03/2020 07:19:29
30,Arunachal Pradesh,,0,0,0,0,26/03/2020 07:19:29
31,Assam,,0,0,0,0,26/03/2020 07:19:29
32,Dadra and Nagar Haveli,,0,0,0,0,26/03/2020 07:19:29
33,Daman and Diu,,0,0,0,0,26/03/2020 07:19:29
34,Jharkhand,,0,0,0,0,26/03/2020 07:19:29
35,Lakshadweep,,0,0,0,0,26/03/2020 07:19:29
36,Meghalaya,,0,0,0,0,26/03/2020 07:19:29
37,Nagaland,,0,0,0,0,26/03/2020 07:19:29
38,Sikkim,,0,0,0,0,26/03/2020 07:19:29
39,Tripura,,0,0,0,0,26/03/2020 07:19:29
