,0,1,2,3,4,5,6
0,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
1,30 January ,1,1,0,0,0,0
2,,,,,,,
3,31 January ,0,1,0,0,0,0
4,01 February ,0,1,0,0,0,0
5,02 February ,1,2,0,0,0,0
6,03 February ,1,3,0,0,0,0
7,04 February ,0,3,0,0,0,0
8,05 February ,0,3,0,0,0,0
9,06 February ,0,3,0,0,0,0
10,07 February ,0,3,0,0,0,0
11,08 February ,0,3,0,0,0,0
12,09 February ,0,3,0,0,0,0
13,10 February ,0,3,0,0,0,0
14,11 February ,0,3,0,0,0,0
15,12 February ,0,3,0,0,0,0
16,13 February ,0,3,1,1,0,0
17,14 February ,0,3,0,1,0,0
18,15 February ,0,3,0,1,0,0
19,16 February ,0,3,1,2,0,0
20,17 February ,0,3,0,2,0,0
21,18 February ,0,3,0,2,0,0
22,19 February ,0,3,0,2,0,0
23,20 February ,0,3,1,3,0,0
24,21 February ,0,3,0,3,0,0
25,22 February ,0,3,0,3,0,0
26,23 February ,0,3,0,3,0,0
27,24 February ,0,3,0,3,0,0
28,25 February ,0,3,0,3,0,0
29,26 February ,0,3,0,3,0,0
30,27 February ,0,3,0,3,0,0
31,28 February ,0,3,0,3,0,0
32,29 February ,0,3,0,3,0,0
33,01 March ,0,3,0,3,0,0
34,02 March ,2,5,0,3,0,0
35,03 March ,1,6,0,3,0,0
36,04 March ,22,28,0,3,0,0
37,05 March ,2,30,0,3,0,0
38,06 March ,1,31,0,3,0,0
39,07 March ,3,34,0,3,0,0
40,08 March ,5,39,0,3,0,0
41,09 March ,9,48,0,3,0,0
42,10 March ,15,63,1,4,0,0
43,11 March ,7,70,0,4,0,0
44,12 March ,12,82,0,4,1,1
45,13 March ,9,91,6,10,0,1
46,14 March ,16,107,0,10,1,2
47,15 March ,6,113,3,13,0,2
48,16 March ,14,127,1,14,0,2
49,17 March ,19,146,1,15,1,3
50,18 March ,25,171,0,15,0,3
51,19 March ,28,199,5,20,1,4
52,20 March ,59,258,3,23,0,4
53,21 March ,76,334,0,23,0,4
54,22 March ,69,403,0,23,3,7
55,23 March ,102,505,2,25,2,9
56,24 March ,66,571,15,40,1,10
57,25 March ,86,657,3,43,1,11
58,26 March ,78,735,7,50,5,16
59,27 March ,151,886,25,75,3,19
60,28 March ,143,1029,10,85,5,24
61,29 March ,110,1139,17,102,3,27
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
